year,sector,value
1990,Business,111.30341928049812
1990,Energy supply,243.65830649021473
1990,Other,46.90295459510034
1990,Residential,78.18518329170553
1990,Transport,125.36832033786987
1991,Business,116.87936408100711
1991,Energy supply,240.38190902055442
1991,Other,44.60982492115079
1991,Residential,86.91106874992025
1991,Transport,123.57455104784634
1992,Business,113.73975893727729
1992,Energy supply,229.640952654508
1992,Other,43.40002425710827
1992,Residential,84.30062464135482
1992,Transport,124.83551891647805
1993,Business,111.85052539283751
1993,Energy supply,214.14588148116212
1993,Other,40.63922604138824
1993,Residential,88.3244883546992
1993,Transport,126.16905407647259
1994,Business,110.8269167957683
1994,Energy supply,210.7146711598556
1994,Other,42.01983060048403
1994,Residential,84.13800090174108
1994,Transport,127.4029778140055
1995,Business,108.44505539823673
1995,Energy supply,209.58308621396924
1995,Other,42.59015379369994
1995,Residential,79.80143549626776
1995,Transport,126.78405712323861
1996,Business,110.46101841696111
1996,Energy supply,211.0349984766701
1996,Other,42.994107068178906
1996,Residential,90.98555380329972
1996,Transport,131.2309397469089
1997,Business,106.97443040482987
1997,Energy supply,198.7249192489945
1997,Other,40.11416364039939
1997,Residential,83.87767930476421
1997,Transport,132.27481860441767
1998,Business,106.33291322433568
1998,Energy supply,204.59160245499677
1998,Other,38.629688025965216
1998,Residential,85.76564899998212
1998,Transport,131.52864609131163
1999,Business,109.23807380821782
1999,Energy supply,193.81934144847165
1999,Other,38.978416011186965
1999,Residential,85.58346210208346
1999,Transport,132.64100364192743
2000,Business,108.87517543187037
2000,Energy supply,205.06800438088774
2000,Other,36.73442959691979
2000,Residential,85.80492218952963
2000,Transport,130.96586470551054
2001,Business,106.2876801228221
2001,Energy supply,216.22133616211374
2001,Other,34.767267222613484
2001,Residential,88.08550316312592
2001,Transport,130.65810506118237
2002,Business,95.4215502701446
2002,Energy supply,212.82955661933397
2002,Other,31.325541111250846
2002,Residential,84.70803894530856
2002,Transport,133.28558962362467
2003,Business,98.08073204962677
2003,Energy supply,220.05194207619962
2003,Other,32.66238904495568
2003,Residential,85.51405697362485
2003,Transport,132.51288967363618
2004,Business,97.45025021766347
2004,Energy supply,218.38602392953626
2004,Other,33.20002070648374
2004,Residential,87.17302397933295
2004,Transport,133.55232538320053
2005,Business,97.22680730021588
2005,Energy supply,218.94539830903577
2005,Other,33.02446789698701
2005,Residential,82.67983320045985
2005,Transport,134.28040895395853
2006,Business,94.36413066632979
2006,Energy supply,224.0608851817919
2006,Other,30.34286639326574
2006,Residential,80.07044679396454
2006,Transport,134.38659572166685
2007,Business,92.3598219537622
2007,Energy supply,219.17310598503002
2007,Other,30.17703000370701
2007,Residential,76.53286733692812
2007,Transport,135.95756804243538
2008,Business,89.69738804254808
2008,Energy supply,212.90258972238402
2008,Other,27.94739479113474
2008,Residential,78.4546433988125
2008,Transport,130.07310267940082
2009,Business,76.48020041826423
2009,Energy supply,189.86283220050686
2009,Other,21.56573509875511
2009,Residential,75.24135832969984
2009,Transport,125.18495202606768
2010,Business,78.18032336775443
2010,Energy supply,197.12428892352554
2010,Other,22.728719811167355
2010,Residential,84.71611149771266
2010,Transport,123.3561906558807
2011,Business,71.60041970505559
2011,Energy supply,182.68033710779156
2011,Other,20.314170536331734
2011,Residential,67.51642764611978
2011,Transport,121.16658985231605
2012,Business,72.9612248655506
2012,Energy supply,192.98705807418463
2012,Other,21.173830545485917
2012,Residential,73.9018077586493
2012,Transport,120.18741114466182
2013,Business,73.23409476558956
2013,Energy supply,181.22517755822727
2013,Other,23.274341527421722
2013,Residential,74.72279072548287
2013,Transport,118.76074217899277
2014,Business,70.99849526021399
2014,Energy supply,156.75879712069613
2014,Other,22.16191345333166
2014,Residential,62.22353830331015
2014,Transport,120.07562462125229
2015,Business,69.6917424448775
2015,Energy supply,137.37103056217506
2015,Other,22.229532788528505
2015,Residential,64.74859801315422
2015,Transport,122.1642742105748
2016,Business,67.18023543587093
2016,Energy supply,115.01687231132335
2016,Other,20.64888539837049
2016,Residential,66.04855914033246
2016,Transport,124.50488272799501
2017,Business,67.59694134017913
2017,Energy supply,104.63032968247002
2017,Other,20.343635697368324
2017,Residential,63.81594645010225
2017,Transport,124.71199268599112
2018,Business,66.93197932997954
2018,Energy supply,97.4989086854365
2018,Other,20.496317710752248
2018,Residential,66.02313838895613
2018,Transport,123.0737493984189
2019,Business,64.56604382197395
2019,Energy supply,89.32215477958746
2019,Other,20.94147865123096
2019,Residential,63.467162953688124
2019,Transport,121.0278375660771
2020,Business,61.46380124044044
2020,Energy supply,78.16298421521005
2020,Other,19.359371949869605
2020,Residential,64.36338523068974
2020,Transport,97.73811354780509
2021,Business,65.09423798227947
2021,Energy supply,80.73733695555967
2021,Other,20.00485067608369
2021,Residential,68.09493406775097
2021,Transport,107.52915108778885
